source,target
See you later.,بعداً می‌بینمت.
Good evening,عصر بخیر
hi sis my amil.,این خانواده من است.
م‌یتوانی کمکم کنی آن را ریست کنم؟,Can you help me reset it?
Could you please...?,ممکن است لطفاً...؟
ب هزودی می‌بینمت.,See you soon.
گاو,Cow
بیمارستان کجاست؟,Where is the hospital?
I need a doctor.,به دکتر نیاز دارم.
آروم باش.,Take it easy.
Thisi s delicious,این خوشمزه است.
من گرسنه‌ام.,I am hungry.
I am proud of you.,بهت افتخار می‌کنم.
I am leraning ersan.,دارم فارسی یاد می‌گیرم.
رزرو ارم.,I have a reservation.
Turn right.,به راست بپیچ.
هر وقت آزاد شدی زنگ بزن.,Call me when you are free.
Where is the airport?,فرودگاه کجاست؟
Can you help me?,می‌تونی کمکم کنی؟
It is hot today.,امروز گرم است.
دارم فارسی یاد می‌گیرم.,I am learning Persian.
Let's go.,بریم.
لطفاً لبخند بزنی!,Smile please!
You are welcome anytime.,هر وقت خواستی.
Orange,نارنجی
ودش میگیرم.,I take a shower.
eHlp!,کمک!
این بد است.,This is bad.
همین الان برمی‌گردم,I will be right back.
اینترنت کار نمی‌کند.,The internet is not working.
Nine,نه
I come back home.,به خانه برمی‌گردم.
Would you like some tea?,چای میل داری؟
Seven,هفت
Call m elater.,بعداً بهم زنگ بزن.
It was nice meeting you.,از ملاقاتت خوشحال شدم.
بیشتر تلاش کن.,Try harder.
می‌خواهم یک میز برای دو نفر رزرو کنم.,I would like to book a table for two people.
Almost perfect.,تقریباً عالیه.
آشپزخانه,Kitchen
Go theer.,برو آنجا.
بله، دامر.,"Yes, I do."
I appreciate it.,قدردانم.
ب هپلیسز نگ بزن.,Call the police.
یه ایده دارم.,I have an idea.
This i sgood.,این خوب است.
این خوب است.,This is good.
Where is the fitting room?,اتاق پرو کجاست؟
My phone batteyr is low.,باتری گوشیم کم است.
بای دکدتر بروم.,I need to see a doctor.
شماره تلفنت چنده؟,What is your phone number?
این هم باقی پولت.,Here is your change.
چای میل داری؟,Would you like some tea?
سرما خورده‌ام.,I have a cold.
I trust you.,بهت اعتماد دارم.
تبریک می‌گم!,Congratulations!
حدو ده قیقه.,About ten minutes.
Five,پنج
How long have oyu lived ehre?,چقدر است که اینجا زندگی می‌کنی؟
شماره تلفنم. است,My phone number is.
ممکن است لطفاً. ؟,Could you please.?
What color is this?,این چه رنگی است؟
Hurry up!,زود باش!
Pelase pseak more slowl.,لطفاً آهسته‌تر صحبت کن.
فرتم بازار.,I went to the market.
I need a taxi.,به تاکسی نیاز دارم.
Of course youc an.,البته می‌تونی.
چند سالته؟,How old are you?
Better late than never.,دیر رسیدن بهتر از هرگز نرسیدن است.
Yesterday,دیروز
I have breakfast.,صبحانه می‌خورم.
بیرون سرد است.,It is cold outside.
Take your time.,عجله نکن.
How long does it take?,چقدر طول می‌کشد؟
Tomrrow is Tuesday.,فردا سه‌شنبه است.
Whatd oes this word mean?,این کلمه یعنی چه؟
منتظرشم.,I am looking forward to it.
No rush.,عجله‌ای نیست.
It i csold.,سرد است.
Yellow,زرد
می‌بخشمت.,I forgive you.
روز چطور بود؟,How was your day?
چقدر طول می‌کشد؟,How long does it take?
Where is my seat,صندلی من کجاست؟
Can I try it on?,می‌تونم امتحانش کنم؟
I am happy.,خوشحالم.
از انجا دو راست؟,Is it far from here?
رنگم ورد علاقه‌اتچ یه؟,What is your favorite color?
How aws yuor day?,روزت چطور بود؟
با آن مراقب باش.,Be careful with that.
What is your phone number?,شماره تلفنت چنده؟
گربه کوچک است.,The cat is small.
رفتم بازار.,I went to the market.
Bad idea.,ایده بدیه.
سردرد دارم.,I have a headache.
مریضم.,I am sick.
Call e wheny ou are free.,هر وقت آزاد شدی زنگ بزن.
Yes,بله
بفرمایید.,Here you are.
It is okay to make misatkes.,اشتباه کردن اشکالی ندارد.
بله,Yes
انگلیسی‌ام کامل نیست.,My English is not perfect.
از اشتباهاتت یاد بگیر.,Learn from your mistakes.
Grandmother,مادربزرگ
تنهام بگذار.,Leave me alone.
حالت بهتر شده؟,Are you feeling better?
Fur,چهار
It was good.,خوب بود.
I am cooking.,دارم آشپزی می‌کنم.
حال شما چطور است؟,How are you?
Aegbefore beauty.,سن قبل از زیبایی
الان فهمیدم.,I understand now.
Turn rihta fter the birdge.,بعد از پل به راست بپیچ.
Age before beauty.,سن قبل از زیبایی
هفت,Seven
It is Friday today.,امروز جمعه است.
دارم تلوزیوین می‌بینم.,I am watching TV.
شبب یخر,Good night
Go starght ahead.,مستقیم برو.
I go to bed at eleven.,ساعت یازده می‌خوابم.
Of oruse.,البته.
چه ماهی است؟,What month is it?
A littl. e,کمی.
آن جالب است.,That is interesting.
ر وتق خواتسی.,You are welcome anytime.
لفاً اینجا صبر کن.,Please wait here.
اتاق خواب,Bedroom
Keep trying.,ادامه بده تلاش کن.
خیی خوش گذشت.,I had a great time.
هرگز از یادگیری دست نکش.,Never stop learning.
گربه خوابیده است.,The cat is sleeping.
Turn right after the bridge.,بعد از پل به راست بپیچ.
به کمک نیاز دارم.,I need help.
I forgot.,فراموش کردم.
I am busy.,سرم شلوغه.
Nice to meet oyu,از آشنایی با شما خوشبختم
I am afraid I cannot.,متأسفانه نمی‌توانم.
Really?,واقعاً؟
What subject od you sutdy?,چه رشته‌ای می‌خوانی؟
چقدر طول می‌کش؟ه,How long does it take?
I like watching movies.,فیلم دیدن رو دوست دارم.
Fathert,پدر
م‌یتونی دوباره بگی؟,Can you repeat that?
I don't like it.,دوستش ندارم.
رنج,Rice
بیا اینجا.,Come here.
I hope to visit again soon.,امیدوارم به زودی دوباره سر بزنم.
Call me later.,بعداً بهم زنگ بزن.
Continue.,ادامه بده.
Aunt,عمه
شماره تلفنم. است.,My phone number is.
مادر,Mother
Yesterday was Sunday.,دیروز یکشنبه بود.
این کلمه یعنی چه؟,What does this word mean?
فرودگاه کجاست؟,Where is the airport?
One hundrde,صد
A little.,کمی.
Cheer up,روحیه بگیر!
Please wait here.,لطفاً اینجا صبر کن.
پرتقال,Orange
به مکی فضا نیاز ادرم.,I need some space.
Follow me.,دنبالم بیا.
پنجره,Window
پنجره را ببند.,Close the window.
اسب,Horse
صندلی,Chair
لطفاً,Please
هفته آینده می‌بینمت.,See you next week.
چای,Tea
گرمه.,I am hot.
سبز,Green
لطفاً پنجره را باز کن.,Please open the window.
My favroite colo ris blue.,رنگ مورد علاقه‌ام آبی است.
After you.,شما بفرمایید.
خوبه.,Alright.
دستشویی کجاست؟,Where is the bathroom?
به خانه برمی‌گرمد.,I come back home.
Look at me.,بهم نگاه کن.
You rae evry kind.,شما خیلی مهربانید.
کریسمس مبارک!,Merry Christmas!
Can I have the menu?,می‌تونم منو رو داشته باشم؟
متعجبم.,I am surprised.
بفرمادی.,Go ahead.
شمکلی ننیست.,No problem.
Happy New Year!,سال نو مبارک!
سیب,Apple
How was your trip?,سفرت چطور بود؟
What is wrong?,چه شده؟
گران بود.,It was expensive.
ممکن است من. ؟,May I.?
باتری گوشیم کم است.,My phone battery is low.
What time shall we meet?,ساعت چند همدیگه رو ببینیم؟
دوش می‌گیرم.,I take a shower.
روز خوبی داشته باشی.,Have a nice day.
Saurtday,شنبه
یک لحظه صبر کن.,Wait a moment.
The cat is small.,گربه کوچک است.
hWta time shall we meet?,ساعت چند همدیگه رو ببینیم؟
شش,Six
برات برمی‌گردونم.,I will pay you back.
The bill please.,حساب لطفاً.
I study at university.,من در دانشگاه درس می‌خوانم.
فردا می‌بنیمتت.,See you tomorrow.
یک برادردارم,I have one brother.
You are amazing.,تو فوق‌العاده‌ای.
I wnat tea.,چای می‌خوام.
فردا می‌بینمت.,See you tomorrow.
هرچه زودتر جواب بده.,Reply as soon as possible.
It is rainign.,باران می‌بارد.
این خوشمز هاست.,This is delicious.
I don't know.,نمی‌دانم.
ساع تیادزه می‌خوابم.,I go to bed at eleven.
از اینجا دور است؟,Is it far from here?
Please tkae me to thisa ddress.,لطفاً من را به این آدرس ببر.
Whta day is today?,امروز چه روزیه؟
How many?,چند تا؟
کتاب خواندن را دوست دارم.,I like reading.
من والدنی مرا ودست دارم.,I love my parents.
I am surprised,متعجبم.
The cat is msall.,گربه کوچک است.
I am thirsty.,من تشنه‌ام.
I am worried.,نگرانم.
چای میلد رای؟,Would you like some tea?
I forgot my password.,رمز عبورم را فراموش کردم.
بارنا می‌بارد.,It is raining.
I go to work.,به سر کار می‌روم.
Cow,گاو
پنجاه,Fifty
کریاه چقدر اس؟ت,What is the fare?
چقدر پول دادی؟,How much did you pay?
دوشنبه,Monday
Ia m arfaid Icannot.,متأسفانه نمی‌توانم.
مراقب با.,Be careful.
با دقت گوش نک.,Listen carefully.
Would oyu mind.?,اشکالی ندارد اگر. ؟
لطفاً اینجا صبر کن.,Please wait here.
آتش!,Fire!
Uncle,عمو
بفرمایید.,Go ahead.
Go ahead.,بفرمایید.
rPactice every day.,هر روز تمرین کن.
لطفاً در را ببند.,Close the door please.
لطفاًد ر را ببند.,Close the door please.
How muhc does this cost?,این چقدر قیمت دارد؟
Wha t should we do?,چیکار باید بکنیم؟
I am lraning nglish.,دارم انگلیسی یاد می‌گیرم.
از اول شروع کنیم.,Let's start over.
باوتر دارم.,I believe you.
How can et to th estation?,چطور می‌تونم به ایستگاه برسم؟
دلم برات تنگ می‌شه.,I will miss you.
ابری است.,It is cloudy.
می‌توانی از ما عکس بگیری؟,Can you take a photo of us?
It is cold outside.,بیرون سرد است.
برام بنوی. س,Write to me.
Can we reschedule?,می‌توانیم زمان را تغییر دهیم؟
صد,One hundred
leasew wait here.,لطفاً اینجا صبر کن.
I need to charge my phone.,باید گوشی‌ام را شارژ کنم.
My English is not perfect.,انگلیسی‌ام کامل نیست.
It is on the left side.,سمت چپ است.
می‌تونی انجامش بدی!,You can do it!
بعداً می‌بینمت.,See you later.
Pink,صورتی
It is three o'clock.,ساعت سه است.
بزن بریم غذا بخوریم.,Let's eat.
رستوران کجاست؟,Where is the restaurant?
پنج,Five
باشه.,Okay.
The weather is nice.,هوا خوب است.
عصر بخیر,Good evening
دل‌درد دارم.,My stomach hurts.
ممنون از خریدتون.,Thank you for shopping.
یک برادر دارم.,I have one brother.
I disagre.,مخالفم.
فیلم دیدن رو دوست دارم.,I like watching movies.
What is the fare?,کرایه چقدر است؟
Reply as soon as possible.,هرچه زودتر جواب بده.
Age before beauty.,سن قبل از زیبایی.
Sunday,یکشنبه
به زودی می‌بینمت.,See you soon.
Could you tell m how to get to th emouseum?,می‌توانید بگویید چطور به موزه بروم؟
This is delicious.,این خوشمزه است.
Nothing is wrong.,هیچی نیست.
این طعم خویب داهر.,This tastes good.
Cheer up!,روحیه بگیر!
گوشت,Meat
چند ت؟,How many?
I speak Persian.,من فارسی صحبت می‌کنم.
Reall?,واقعاً؟
دارم کار می‌کنم.,I am working.
عصبانی‌ام.,I am angry.
ادامه بده تلاش کن.,Keep trying.
Help!,کمک!
I have three apples.,من سه تا سیب دارم.
نگرانش نباش.,Do not worry about it.
I will pay you back.,برات برمی‌گردونم.
Iam twenty years old.,من بیست ساله هستم.
زود باش!,Hurry up!
سمت چپ سات.,It is on the left side.
لطفاً ایمیلت را چک کن.,Please check your email.
می‌تونم منو رو داشته باشم؟,Can I have the menu?
عمه,Aunt
زرد,Yellow
What day is today?,امروز چه روزیه؟
I am looking for a good restaurant nearby.,دنبال یک رستوران خوب در نزدیکی اینجا هستم.
Excuse me,ببخشید
Go there.,برو آنجا.
I a mbusy at wok.,سر کار سرم شلوغ است.
aCn ouy help me reset ti?,می‌توانی کمکم کنی آن را ریست کنم؟
went to the market.,رفتم بازار.
It is none of your business.,به تو ربطی نداره.
Ia m excited.,هیجان‌زده‌ام.
I will take this.,این رو برمی‌دارم.
What day is it today?,امروز چه روزی است؟
داروخانه کاجست؟,Where is the pharmacy?
What month is it?,چه ماهی است؟
سردمه.,I am cold.
I am awtcing TV.,دارم تلویزیون می‌بینم.
Mnday,دوشنبه
فیلم مورد علاقه‌ات چیست؟,What is your favorite movie?
اسم شما چیست؟,What is your name?
این چقرد قیمت دارد؟,How much does this cost?
One hundred,صد
At five o'clock.,ساعت پنج.
I study computer science.,علوم کامپیوتر می‌خوانم.
کجا زندگی می‌کنی؟,Where do you live?
What mnth isi t?,چه ماهی است؟
Fire!,آتش!
I want waet.,آب می‌خوام.
How are you doing?,حالت چطوره؟
خوب بود.,It was good.
I really appreciate it.,واقعاً قدردانم.
Do not touch that.,به آن دست نزن.
What is your name?,اسم شما چیست؟
Don't cry.,گریه نکن.
Today is Monda. y,امروز دوشنبه است.
Call the police.,به پلیس زنگ بزن.
It s windy.,باد می‌وزد.
من توریست هستم.,I am a tourist.
Thirty,سی
ببخشید,Excuse me
ایده دبیه.,Bad idea.
لطفاً آهسته صحبت کن.,Please speak slowly.
Blue,آبی
هشت,Eight
ممکن اس تلطفاً. ؟,Could you please.?
لطفاً لبخند بزنید!,Smile please!
Send me a message.,برام پیام بفرست.
ارزان بود.,It was cheap.
Take an umbrella.,چتر بردار.
Not ba. d,بد نیست.
No har dfeeings.,کدورتی نیست.
Night,شب
How od I ge to the train sttion?,چطور به ایستگاه قطار بروم؟
Nextw eek,هفته آینده
امروز دوشنبه است.,Today is Monday.
پننجره,Window
I have trhee appes.,من سه تا سیب دارم.
What is the temperature?,دما چند درجه است؟
Listn carefully.,با دقت گوش کن.
رنگ مورد علاقه‌ام آیب است.,My favorite color is blue.
سالاد,Salad
My Persian is not very good.,فارسی‌ام خیلی خوب نیست.
چند تا میوه خریدم.,I bought some fruits.
انگلیسی‌ام کال نیست.,My English is not perfect.
Be careful with that.,با آن مراقب باش.
Please,لطفاً
I lovey ou.,دوستت دارم.
دو خواهر دارم.,I have two sisters.
Tell me more.,بیشتر بگو.
Ireally appreciate it.,واقعاً قدردانم.
بردارم دکتر است.,My brother is a doctor.
می‌وتنی هی کم پول بهم قرض بدی؟,Can you lend me some money?
I amc oking.,دارم آشپزی می‌کنم.
Turn left at the traffic light.,سر چراغ قرمز به چپ بپیچ.
Grandftaehr,پدربزرگ
ب کار خدوت برس.,Mind your own business.
هفته آینده,Next week
می‌خواهم یک میز برای دو نفر رزرو کم.,I would like to book a table for two people.
تا دفعه بعد.,Until next time.
از اول شروع نکمی.,Let's start over.
دوستت دارم.,I love you.
Cat,گربه
هفته گذشته,Last week
چه رشته‌ای می‌خوانی؟,What subject do you study?
این را هب فارسی چطور می‌گیوند؟,How do you say this in Persian?
ایده بدیه.,Bad idea.
You are wlecome,خواهش می‌کنم
بعدازهظر,Afternoon
Do you accept credit cards?,کارت اعتباری قبول می‌کنید؟
قدردانم.,I appreciate it.
I remember.,یادم هست.
It is hot.,گرم است.
بفمایید.,Here you are.
می‌تونی دوباره بگی؟,Can you repeat that?
چه شده؟,What is the matter?
به خودت ایمان داشته باش.,Believe in yourself.
See you son.,به زودی می‌بینمت.
Today is Monday.,امروز دوشنبه است.
دارمک تاب می‌خونم.,I am reading a book.
علوم کامپیوتر می‌خوانم.,I study computer science.
It is tree o'clock.,ساعت سه است.
One touadn,هزار
It is okay to make mistakes.,اشتباه کردن اشکالی ندارد.
Sit down.,بشین.
Black,سیاه
اشکالی ندارد اگر. ؟,Would you mind.?
کارت عالیب ود!,Great job!
هفته آینده می‌بنمت.,See you next week.
برادر,Brother
هقهو‌ای,Brown
This isipmortnat.,این مهم است.
دارم درس می‌خونم.,I am studying.
I have a headache.,سردرد دارم.
خوش بگذره!,Have fun!
داروخانه کجاست؟,Where is the pharmacy?
ساعت یازده می‌خوابم.,I go to bed at eleven.
عالی حس می‌کنم.,I feel great.
Twenty,بیست
I have one brother.,یک برادر دارم.
What did you buy?,چی خریدی؟
به تو ربطی نداره.,It is none of your business.
می‌تونم امتحانش کنم؟,Can I try it on?
Itw ase xpensiv. e,گران بود.
فارسی‌ام خیلی خوب نیست.,My Persian is not very good.
Cash only.,فقط نقدی.
I have ameetingt omorrow.,فردا جلسه دارم.
My English is not perfce. t,انگلیسی‌ام کامل نیست.
Brown,قهوه‌ای
می‌توانی از ما عکس بگیی؟,Can you take a photo of us?
فقط نقدی.,Cash only.
بس کن.,Stop it.
I brush my teeth,دندان‌هایم را مسواک می‌زنم.
Nice to meet you,از آشنایی با شما خوشبختم
می‌توانید بگویید چطوربه موهز بروم؟,Could you tell me how to get to the museum?
م‌یوتنی نجامش بدی!,You can do it!
دنبال ی کرستوران خجوب رد نزدیکی یجنا هستم.,I am looking for a good restaurant nearby.
هوا امروز چطور است؟,How is the weather today?
What is your phone nmuber?,شماره تلفنت چنده؟
Where is te kitchen?,آشپزخانه کجاست؟
البته.,Of course.
ها امروز چطور ات؟س,How is the weather today?
پیتزا دوست دارم.,I like pizza.
Do you like your job?,شغلت را دوست داری؟
خسته‌ام.,I am tired.
ساعت سه است.,It is three o'clock.
Wife,همسر
می‌تون مامتحانش کمن؟,Can I try it on?
Thank you very much.,خیلی ممنونم.
من در ی دفتر کار میک‌نم.,I work in an office.
Ig ot you rmessage.,پیامت رو گرفتم.
Wehre is th bathroo?,دستشویی کجاست؟
من کی سگخا نگ دارم.,I have a pet dog.
Dog,سگ
لطفاًآ هسته صبحت کن.,Please speak slowly.
Water,آب
این ر وبرم‌یدارم.,I will take this.
My phone battery is low.,باتری گوشیم کم است.
I need some space.,به کمی فضا نیاز دارم.
شغلت را دوست داری؟,Do you like your job?
فوتبال بازی می‌کنی؟,Do you play football?
I understand now.,الان فهمیدم.
جمعه,Friday
ببرایت ایمیل فرستادم.,I sent you an email.
کارت عالی بود!,Great job!
از آشنایی با ما خوشبختم,Nice to meet you
پنج نفر هستند.,There are five people.
Tomorrow is Tuesday.,فردا سه‌شنبه است.
Almots perfcet.,تقریباً عالیه.
دارم تلویزیون می‌بینم.,I am watching TV.
I would ilke.,مایل هستم.
Stay in touch.,در تماس باش.
چه کار می‌کنی؟,What do you do?
امیدورام به زودی دوباره سر بنم.,I hope to visit again soon.
صندلی من کجاست؟,Where is my seat?
میز,Table
I am fine.,من خوبم.
برام صبر کن.,Wait for me.
امس م علی است.,My name is Ali.
Good morning!,صبح بخیر!
می‌توانیم زمان را تغییر هدیم؟,Can we reschedule?
Ladiesf rist.,خانم‌ها اول.
How lnog does it take?,چقدر طول می‌کشه؟
No,نه
I lost my way.,راهم را گم کردم.
Pleas pseak slowyl.,لطفاً آهسته صحبت کن.
سر چراغ قرمز به چپ بپیچ.,Turn left at the traffic light.
Come back soon.,زود برگرد.
بابت دیر کردن عذر می‌خوام.,I am sorry for being late.
متوجه نمی‌شوم.,I don't understand.
My favorite color is green.,رنگ مورد علاقه‌ام سبز است.
Wait a moment.,یک لحظه صبر کن.
عولمک امپیوترم ی‌خوانم.,I study computer science.
دندان‌هایم را مسواک می‌زنم.,I brush my teeth.
Goodbye,خداحافظ
گوش دادن به موسیقی رو دوست دارم.,I like listening to music.
How much is it?,قیمتش چقدر است؟
لبخن دبنز.,Smile.
Happy birthday!,تولدت مبارک!
Brother,برادر
من خسته‌ام.,I am tired.
خوش اومدی خونه.,Welcome home.
Ihave a headache.,سردرد دارم.
This s myf irst time ehre.,اولین بار است که اینجا می‌آیم.
I am a student.,من دانشجو هستم.
چطور یم‌تونم به ایستگاه برسم؟,How can I get to the station?
آب می‌خوام.,I want water.
قط ند. ی,Cash only.
مشکلی نیست.,No problem.
This is my family.,این خانواده من است.
Is this spicy?,این تند است؟
من در تهرانز ندگی می‌کنم.,I live in Tehran.
Can you write it down?,می‌توانی بنویسیش؟
I am srory for being late.,بابت دیر کردن عذر می‌خوام.
I work in an office.,من در یک دفتر کار می‌کنم.
I feel terrible.,افتضاح حس می‌کنم.
چیکار باید بکنیم؟,What should we do?
شنبه,Saturday
صورتی,Pink
Bird,پرنده
It is n the left side.,سمت چپ است.
خوشحلم.,I am happy.
امیدوارم به زودی دوباره سر بزنم.,I hope to visit again soon.
قابلی نداره.,Don't mention it.
How can I get to the station?,چطور می‌تونم به ایستگاه برسم؟
Green,سبز
It is on the right side.,سمت راست است.
That is interesting.,آن جالب است.
بله، دارم.,"Yes, I do."
Do you have a pen?,خودکار داری؟
بعد از پل به راست بپیچ.,Turn right after the bridge.
نزدیک است.,It is near.
I haveone brother.,یک برادر دارم.
وقت طلاست.,Time is money.
Yuo area mazign.,تو فوق‌العاده‌ای.
Do you accep tcredit card? s,کارت اعتباری قبول می‌کنید؟
Of course.,البته.
I am hot.,گرمه.
Door,در
It is too big.,خیلی بزرگ است.
