source,target
سرگرمی‌هایت چیست؟,What are your hobbies?
I like reading.,کتاب خواندن را دوست دارم.
کتاب خواندن را دوست دارم.,I like reading.
I like sports.,ورزش را دوست دارم.
ورزش را دوست دارم.,I like sports.
Do you play football?,فوتبال بازی می‌کنی؟
فوتبال بازی می‌کنی؟,Do you play football?
"Yes, I play football.",بله، فوتبال بازی می‌کنم.
بله، فوتبال بازی می‌کنم.,"Yes, I play football."
What is your favorite movie?,فیلم مورد علاقه‌ات چیست؟
فیلم مورد علاقه‌ات چیست؟,What is your favorite movie?
What kind of music do you like?,چه نوع موسیقی دوست داری؟
چه نوع موسیقی دوست داری؟,What kind of music do you like?
I wake up at seven.,ساعت هفت بیدار می‌شوم.
ساعت هفت بیدار می‌شوم.,I wake up at seven.
I go to bed at eleven.,ساعت یازده می‌خوابم.
ساعت یازده می‌خوابم.,I go to bed at eleven.
I brush my teeth.,دندان‌هایم را مسواک می‌زنم.
دندان‌هایم را مسواک می‌زنم.,I brush my teeth.
I take a shower.,دوش می‌گیرم.
دوش می‌گیرم.,I take a shower.
I have breakfast.,صبحانه می‌خورم.
صبحانه می‌خورم.,I have breakfast.
I go to work.,به سر کار می‌روم.
به سر کار می‌روم.,I go to work.
I come back home.,به خانه برمی‌گردم.
به خانه برمی‌گردم.,I come back home.
I watch television.,تلویزیون تماشا می‌کنم.
تلویزیون تماشا می‌کنم.,I watch television.
I read a book before bed.,قبل از خواب کتاب می‌خوانم.
قبل از خواب کتاب می‌خوانم.,I read a book before bed.
I have a cold.,سرما خورده‌ام.
سرما خورده‌ام.,I have a cold.
I have a fever.,تب دارم.
تب دارم.,I have a fever.
My head hurts.,سردرد دارم.
سردرد دارم.,My head hurts.
My stomach hurts.,دل‌درد دارم.
دل‌درد دارم.,My stomach hurts.
I need medicine.,به دارو نیاز دارم.
به دارو نیاز دارم.,I need medicine.
Where is the pharmacy?,داروخانه کجاست؟
داروخانه کجاست؟,Where is the pharmacy?
I need to see a doctor.,باید دکتر بروم.
باید دکتر بروم.,I need to see a doctor.
Are you feeling better?,حالت بهتر شده؟
حالت بهتر شده؟,Are you feeling better?
Would you mind...?,اشکالی ندارد اگر...؟
اشکالی ندارد اگر...؟,Would you mind...?
Could you please...?,ممکن است لطفاً...؟
ممکن است لطفاً...؟,Could you please...?
I would like...,مایل هستم...
مایل هستم...,I would like...
May I...?,ممکن است من...؟
ممکن است من...؟,May I...?
Is it possible...?,آیا ممکن است...؟
آیا ممکن است...؟,Is it possible...?
I am afraid I cannot.,متأسفانه نمی‌توانم.
متأسفانه نمی‌توانم.,I am afraid I cannot.
That would be great.,عالی می‌شود.
عالی می‌شود.,That would be great.
I really appreciate it.,واقعاً قدردانم.
واقعاً قدردانم.,I really appreciate it.
You are too kind.,خیلی لطف دارید.
خیلی لطف دارید.,You are too kind.
Could you tell me how to get to the museum?,می‌توانید بگویید چطور به موزه بروم؟
می‌توانید بگویید چطور به موزه بروم؟,Could you tell me how to get to the museum?
I am looking for a good restaurant nearby.,دنبال یک رستوران خوب در نزدیکی اینجا هستم.
دنبال یک رستوران خوب در نزدیکی اینجا هستم.,I am looking for a good restaurant nearby.
Do you know if there is a bank around here?,می‌دانید آیا بانکی در این اطراف هست؟
می‌دانید آیا بانکی در این اطراف هست؟,Do you know if there is a bank around here?
I would like to book a table for two people.,می‌خواهم یک میز برای دو نفر رزرو کنم.
می‌خواهم یک میز برای دو نفر رزرو کنم.,I would like to book a table for two people.
What time does the store open?,مغازه ساعت چند باز می‌شود؟
مغازه ساعت چند باز می‌شود؟,What time does the store open?
What time does the store close?,مغازه ساعت چند بسته می‌شود؟
مغازه ساعت چند بسته می‌شود؟,What time does the store close?
I forgot my password.,رمز عبورم را فراموش کردم.
رمز عبورم را فراموش کردم.,I forgot my password.
Can you help me reset it?,می‌توانی کمکم کنی آن را ریست کنم؟
می‌توانی کمکم کنی آن را ریست کنم؟,Can you help me reset it?
The internet is not working.,اینترنت کار نمی‌کند.
اینترنت کار نمی‌کند.,The internet is not working.
My phone battery is low.,باتری گوشیم کم است.
باتری گوشیم کم است.,My phone battery is low.
Do you have a charger?,شارژر داری؟
شارژر داری؟,Do you have a charger?
I need to charge my phone.,باید گوشی‌ام را شارژ کنم.
باید گوشی‌ام را شارژ کنم.,I need to charge my phone.
This is my first time here.,اولین بار است که اینجا می‌آیم.
اولین بار است که اینجا می‌آیم.,This is my first time here.
I am a tourist.,من توریست هستم.
من توریست هستم.,I am a tourist.
Can you take a photo of us?,می‌توانی از ما عکس بگیری؟
می‌توانی از ما عکس بگیری؟,Can you take a photo of us?
Smile please!,لطفاً لبخند بزنید!
لطفاً لبخند بزنید!,Smile please!
How was your trip?,سفرت چطور بود؟
سفرت چطور بود؟,How was your trip?
It was wonderful.,عالی بود.
عالی بود.,It was wonderful.
I had a great time.,خیلی خوش گذشت.
خیلی خوش گذشت.,I had a great time.
I hope to visit again soon.,امیدوارم به زودی دوباره سر بزنم.
امیدوارم به زودی دوباره سر بزنم.,I hope to visit again soon.
Red,قرمز
قرمز,Red
Blue,آبی
آبی,Blue
Green,سبز
سبز,Green
Yellow,زرد
زرد,Yellow
Black,سیاه
سیاه,Black
White,سفید
سفید,White
Orange,نارنجی
نارنجی,Orange
Purple,بنفش
بنفش,Purple
Pink,صورتی
صورتی,Pink
Brown,قهوه‌ای
قهوه‌ای,Brown
What color is this?,این چه رنگی است؟
این چه رنگی است؟,What color is this?
My favorite color is green.,رنگ مورد علاقه‌ام سبز است.
رنگ مورد علاقه‌ام سبز است.,My favorite color is green.
Dog,سگ
سگ,Dog
Cat,گربه
گربه,Cat
Bird,پرنده
پرنده,Bird
Horse,اسب
اسب,Horse
Cow,گاو
گاو,Cow
I have a pet dog.,من یک سگ خانگی دارم.
من یک سگ خانگی دارم.,I have a pet dog.
The cat is sleeping.,گربه خوابیده است.
گربه خوابیده است.,The cat is sleeping.
House,خانه
خانه,House
Room,اتاق
اتاق,Room
Kitchen,آشپزخانه
آشپزخانه,Kitchen
Bathroom,حمام
حمام,Bathroom
Bedroom,اتاق خواب
اتاق خواب,Bedroom
Door,در
در,Door
Window,پنجره
پنجره,Window
Table,میز
میز,Table
Chair,صندلی
صندلی,Chair
Bed,تخت
تخت,Bed
Where is the kitchen?,آشپزخانه کجاست؟
آشپزخانه کجاست؟,Where is the kitchen?
Please open the window.,لطفاً پنجره را باز کن.
لطفاً پنجره را باز کن.,Please open the window.
Close the door please.,لطفاً در را ببند.
لطفاً در را ببند.,Close the door please.
I work in an office.,من در یک دفتر کار می‌کنم.
من در یک دفتر کار می‌کنم.,I work in an office.
I study at university.,من در دانشگاه درس می‌خوانم.
من در دانشگاه درس می‌خوانم.,I study at university.
What subject do you study?,چه رشته‌ای می‌خوانی؟
چه رشته‌ای می‌خوانی؟,What subject do you study?
I study computer science.,علوم کامپیوتر می‌خوانم.
علوم کامپیوتر می‌خوانم.,I study computer science.
I have a meeting tomorrow.,فردا جلسه دارم.
فردا جلسه دارم.,I have a meeting tomorrow.
I am busy at work.,سر کار سرم شلوغ است.
سر کار سرم شلوغ است.,I am busy at work.
Can we reschedule?,می‌توانیم زمان را تغییر دهیم؟
می‌توانیم زمان را تغییر دهیم؟,Can we reschedule?
I sent you an email.,برات ایمیل فرستادم.
برات ایمیل فرستادم.,I sent you an email.
Please check your email.,لطفاً ایمیلت را چک کن.
لطفاً ایمیلت را چک کن.,Please check your email.
What does this word mean?,این کلمه یعنی چه؟
این کلمه یعنی چه؟,What does this word mean?
How do you say this in Persian?,این را به فارسی چطور می‌گویند؟
این را به فارسی چطور می‌گویند؟,How do you say this in Persian?
How do you say this in English?,این را به انگلیسی چطور می‌گویند؟
این را به انگلیسی چطور می‌گویند؟,How do you say this in English?
Can you write it down?,می‌توانی بنویسیش؟
می‌توانی بنویسیش؟,Can you write it down?
Please speak more slowly.,لطفاً آهسته‌تر صحبت کن.
لطفاً آهسته‌تر صحبت کن.,Please speak more slowly.
I am still learning.,هنوز دارم یاد می‌گیرم.
هنوز دارم یاد می‌گیرم.,I am still learning.
My Persian is not very good.,فارسی‌ام خیلی خوب نیست.
فارسی‌ام خیلی خوب نیست.,My Persian is not very good.
My English is not perfect.,انگلیسی‌ام کامل نیست.
انگلیسی‌ام کامل نیست.,My English is not perfect.
You speak very well.,خیلی خوب صحبت می‌کنی.
خیلی خوب صحبت می‌کنی.,You speak very well.
Keep practicing.,به تمرین ادامه بده.
به تمرین ادامه بده.,Keep practicing.
I made a mistake.,اشتباه کردم.
اشتباه کردم.,I made a mistake.
It is okay to make mistakes.,اشتباه کردن اشکالی ندارد.
اشتباه کردن اشکالی ندارد.,It is okay to make mistakes.
Learn from your mistakes.,از اشتباهاتت یاد بگیر.
از اشتباهاتت یاد بگیر.,Learn from your mistakes.
Never stop learning.,هرگز از یادگیری دست نکش.
هرگز از یادگیری دست نکش.,Never stop learning.
